fname	D-D	N-N	D-N-N-D	T-N-N-T	T-D-D-T	T-T	qid	dist
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_120_lex_300_rex_300_site_peak_1585_2_cobinding.tsv	44.83	3.45	16.1	10.35	21.84	3.45	2	120
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_141_lex_300_rex_300_site_peak_1585_2_cobinding.tsv	26.39	2.78	26.39	15.27	23.62	5.56	2	141
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_53_lex_300_rex_300_site_peak_3673_2_cobinding.tsv	9.16	62.6	19.08	4.58	3.82	0.76	2	53
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_73_lex_300_rex_300_site_peak_2376_5_cobinding.tsv	8.29	35.48	39.63	10.14	4.14	2.3	2	73
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_76_lex_300_rex_300_site_peak_226_4_cobinding.tsv	61.6	7.2	12	4	12.8	2.4	2	76
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_126_lex_300_rex_300_site_peak_226_4_cobinding.tsv	56.44	3.96	19.8	3.96	13.86	1.98	2	126
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_95_lex_300_rex_300_site_peak_547_4_cobinding.tsv	58.7	4.35	11.96	0	22.82	2.17	2	95
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_81_lex_300_rex_300_site_peak_1036_4_cobinding.tsv	7.3	24.09	11.68	8.03	45.99	2.92	2	81
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_103_lex_300_rex_300_site_peak_476_4_cobinding.tsv	62.69	8.21	14.92	2.98	10.45	0.75	2	103
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_30_lex_300_rex_300_site_peak_476_6_cobinding.tsv	55.88	12.75	10.78	0.98	17.64	1.96	2	30
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_130_lex_300_rex_300_site_peak_258_6_cobinding.tsv	55.32	3.19	28.72	2.13	9.58	1.06	2	130
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_63_lex_300_rex_300_site_peak_4314_4_cobinding.tsv	50.0	1.79	28.57	0	17.85	1.79	2	63
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_4314_5_cobinding.tsv	54.79	1.37	16.44	4.11	19.18	4.11	2	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_146_lex_300_rex_300_site_peak_3454_4_cobinding.tsv	17.93	3.45	56.55	4.83	15.86	1.38	2	146
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_165_lex_300_rex_300_site_peak_3454_4_cobinding.tsv	15.38	3.85	53.08	8.46	16.93	2.31	2	165
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_134_lex_300_rex_300_site_peak_3454_5_cobinding.tsv	23.9	3.14	50.95	3.77	16.35	1.89	2	134
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_153_lex_300_rex_300_site_peak_3454_5_cobinding.tsv	21.53	3.47	47.92	6.95	17.36	2.78	2	153
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_98_lex_300_rex_300_site_peak_3809_3_cobinding.tsv	21.59	29.55	27.27	9.09	10.23	2.27	2	98
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_343_9_cobinding.tsv	48.28	6.9	18.39	1.15	21.84	3.45	2	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_66_lex_300_rex_300_site_peak_3573_8_cobinding.tsv	51.7	14.29	17	0.68	14.28	2.04	2	66
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_97_lex_300_rex_300_site_peak_1966_5_cobinding.tsv	41.98	4.94	34.56	1.23	14.81	2.47	2	97
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_151_lex_300_rex_300_site_peak_98_2_cobinding.tsv	37.62	8.91	34.65	7.92	8.91	1.98	2	151
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_142_lex_300_rex_300_site_peak_4339_6_cobinding.tsv	66.67	0.0	16.66	2.78	12.5	1.39	2	142
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_4339_7_cobinding.tsv	76.32	0.66	5.93	0.66	14.47	1.97	2	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_4339_7_cobinding.tsv	75.52	0.7	6.99	0.7	14.68	1.4	2	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_62_lex_300_rex_300_site_peak_4339_10_cobinding.tsv	78.66	1.83	3.66	1.83	12.2	1.83	2	62
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_61_lex_300_rex_300_site_peak_2257_4_cobinding.tsv	66.67	0.95	19.05	2.85	8.57	1.9	2	61
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_109_lex_300_rex_300_site_peak_1843_6_cobinding.tsv	47.34	4.79	26.6	4.79	14.89	1.6	2	109
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_1843_7_cobinding.tsv	36.89	6.56	25.41	9.84	17.63	3.69	2	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_47_lex_300_rex_300_site_peak_1843_8_cobinding.tsv	39.2	9.3	17.94	9.3	23.26	1.0	2	47
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_73_lex_300_rex_300_site_peak_1843_8_cobinding.tsv	32.95	8.91	19	14.73	18.61	5.81	2	73
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_57_lex_300_rex_300_site_peak_4460_2_cobinding.tsv	55.1	5.1	18.36	2.04	16.32	3.06	2	57
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_65_lex_300_rex_300_site_peak_2623_4_cobinding.tsv	9.93	60.99	14.9	6.38	5.68	2.13	2	65
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_122_lex_300_rex_300_site_peak_5295_2_cobinding.tsv	30.43	0.0	26.09	2.9	37.68	2.9	2	122
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_55_lex_300_rex_300_site_peak_5295_3_cobinding.tsv	69.7	1.52	11.37	1.52	14.4	1.52	2	55
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_149_lex_300_rex_300_site_peak_66_10_cobinding.tsv	22.11	18.74	31.79	8.84	15.78	2.74	2	149
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_51_lex_300_rex_300_site_peak_66_11_cobinding.tsv	40.8	26.42	16.39	4.69	10.7	1.0	2	51
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_1683_2_cobinding.tsv	78.33	1.67	4.17	0	15	0.83	2	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_959_6_cobinding.tsv	65.69	4.9	18.63	2.94	6.86	0.98	2	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_68_lex_300_rex_300_site_peak_959_7_cobinding.tsv	43.26	18.44	21.99	2.13	12.06	2.13	2	68
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_42_lex_300_rex_300_site_peak_1974_1_cobinding.tsv	2.75	3.67	0.92	6.42	81.65	4.59	2	42
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_73_lex_300_rex_300_site_peak_1773_2_cobinding.tsv	15.46	42.27	17.52	6.18	16.49	2.06	2	73
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_84_lex_300_rex_300_site_peak_3486_15_cobinding.tsv	44.79	14.72	27.6	3.68	7.97	1.23	2	84
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_94_lex_300_rex_300_site_peak_3486_16_cobinding.tsv	16.1	30.51	34.74	4.24	12.71	1.69	2	94
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_126_lex_300_rex_300_site_peak_1796_4_cobinding.tsv	11.46	23.96	51.04	10.42	1.04	2.08	2	126
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_40_lex_300_rex_300_site_peak_3168_6_cobinding.tsv	69.14	4.94	9.87	1.23	12.35	2.47	2	40
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_53_lex_300_rex_300_site_peak_3168_8_cobinding.tsv	58.11	6.76	16.22	0	16.22	2.7	2	53
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_30_lex_300_rex_300_site_peak_5113_2_cobinding.tsv	74.6	3.17	7.93	1.59	11.11	1.59	2	30
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_71_lex_300_rex_300_site_peak_78_6_cobinding.tsv	50.0	4.55	16.67	3.04	22.73	3.03	2	71
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_86_lex_300_rex_300_site_peak_78_6_cobinding.tsv	50.85	3.39	13.55	3.38	25.42	3.39	2	86
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_130_lex_300_rex_300_site_peak_1257_2_cobinding.tsv	40.68	5.08	33.9	1.69	15.25	3.39	2	130
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_54_lex_300_rex_300_site_peak_2119_3_cobinding.tsv	42.56	28.72	12.82	2.05	12.31	1.54	2	54
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_97_lex_300_rex_300_site_peak_2778_4_cobinding.tsv	26.67	6.67	40	6.66	17.33	2.67	2	97
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_37_lex_300_rex_300_site_peak_2778_5_cobinding.tsv	71.84	4.85	9.71	0.97	11.65	0.97	2	37
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_79_lex_300_rex_300_site_peak_1905_7_cobinding.tsv	24.14	15.52	35.63	2.87	20.11	1.72	2	79
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_123_lex_300_rex_300_site_peak_970_2_cobinding.tsv	2.17	61.96	22.83	11.95	0	1.09	2	123
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_170_4_cobinding.tsv	21.21	10.61	27.27	15.16	21.21	4.55	2	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_108_lex_300_rex_300_site_peak_170_4_cobinding.tsv	19.64	8.93	30.35	16.08	21.43	3.57	2	108
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_43_lex_300_rex_300_site_peak_170_5_cobinding.tsv	30.49	29.27	9.76	8.54	18.3	3.66	2	43
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_61_lex_300_rex_300_site_peak_170_5_cobinding.tsv	29.17	29.17	11.11	8.33	18.05	4.17	2	61
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_772_3_cobinding.tsv	5.1	66.33	18.87	4.59	4.08	1.02	2	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_47_lex_300_rex_300_site_peak_3279_6_cobinding.tsv	2.5	55.83	16.67	11.67	10.84	2.5	2	47
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_3279_6_cobinding.tsv	0.99	55.45	13.86	15.84	11.88	1.98	2	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_1537_2_cobinding.tsv	35.21	14.08	29.58	4.23	14.09	2.82	2	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_93_lex_300_rex_300_site_peak_5456_2_cobinding.tsv	17.11	21.71	34.87	11.18	11.84	3.29	2	93
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_49_lex_300_rex_300_site_peak_2570_2_cobinding.tsv	10.43	55.65	20.87	8.7	2.61	1.74	2	49
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_44_lex_300_rex_300_site_peak_3265_3_cobinding.tsv	13.79	15.17	32.42	11.04	23.45	4.14	2	44
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_58_lex_300_rex_300_site_peak_1301_8_cobinding.tsv	73.08	0.96	9.62	1.92	12.5	1.92	2	58
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_95_lex_300_rex_300_site_peak_1145_3_cobinding.tsv	6.06	65.66	15.15	10.1	1.01	2.02	2	95
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_180_lex_300_rex_300_site_peak_2412_2_cobinding.tsv	36.0	2.0	21	8	28	5.0	2	180
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_41_lex_300_rex_300_site_peak_2412_3_cobinding.tsv	24.73	20.07	23.29	7.17	22.58	2.15	2	41
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_55_lex_300_rex_300_site_peak_5454_3_cobinding.tsv	21.31	39.34	19.13	6.56	10.38	3.28	2	55
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_85_lex_300_rex_300_site_peak_5454_4_cobinding.tsv	18.88	26.57	23.78	9.79	17.49	3.5	2	85
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_103_lex_300_rex_300_site_peak_5454_4_cobinding.tsv	31.75	22.22	34.13	1.58	8.73	1.59	2	103
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_162_lex_300_rex_300_site_peak_5454_4_cobinding.tsv	11.63	13.95	44.18	13.96	13.96	2.33	2	162
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_89_lex_300_rex_300_site_peak_5454_5_cobinding.tsv	18.52	16.67	22.22	12.97	24.08	5.56	2	89
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_77_lex_300_rex_300_site_peak_5454_6_cobinding.tsv	28.07	15.79	17.54	14.04	19.3	5.26	2	77
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_84_lex_300_rex_300_site_peak_3255_4_cobinding.tsv	56.0	4.0	16	1.33	20	2.67	2	84
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_51_lex_300_rex_300_site_peak_2282_6_cobinding.tsv	62.62	14.95	12.14	0.93	8.41	0.93	2	51
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_35_lex_300_rex_300_site_peak_199_7_cobinding.tsv	42.86	16.67	20.24	4.76	13.09	2.38	2	35
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_68_lex_300_rex_300_site_peak_28_7_cobinding.tsv	45.45	15.91	17.05	3.41	15.91	2.27	2	68
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_172_lex_300_rex_300_site_peak_601_5_cobinding.tsv	22.92	18.75	44.79	7.29	4.16	2.08	2	172
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_43_lex_300_rex_300_site_peak_2942_3_cobinding.tsv	70.47	17.72	5.9	0.39	4.72	0.79	2	43
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_77_lex_300_rex_300_site_peak_1814_3_cobinding.tsv	46.21	6.06	26.51	2.27	17.42	1.52	2	77
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_84_lex_300_rex_300_site_peak_4057_9_cobinding.tsv	17.91	31.34	32.83	10.45	5.98	1.49	2	84
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_87_lex_300_rex_300_site_peak_501_5_cobinding.tsv	29.27	34.96	25.2	2.44	7.32	0.81	2	87
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_68_lex_300_rex_300_site_peak_501_6_cobinding.tsv	26.87	42.54	17.16	2.24	8.95	2.24	2	68
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_122_lex_300_rex_300_site_peak_1348_2_cobinding.tsv	12.5	27.27	43.18	11.36	4.54	1.14	2	122
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_71_lex_300_rex_300_site_peak_1348_2_cobinding.tsv	19.47	53.1	15.93	4.42	6.19	0.88	2	71
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_137_lex_300_rex_300_site_peak_3124_1_cobinding.tsv	33.33	10.0	40	6.67	8.34	1.67	2	137
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_42_lex_300_rex_300_site_peak_528_4_cobinding.tsv	33.85	35.38	10.77	7.7	9.23	3.08	2	42
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_69_lex_300_rex_300_site_peak_1717_4_cobinding.tsv	67.16	1.49	8.96	2.99	16.42	2.99	2	69
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_113_lex_300_rex_300_site_peak_1159_3_cobinding.tsv	41.41	4.69	16.4	3.12	32.81	1.56	2	113
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_53_lex_300_rex_300_site_peak_1159_5_cobinding.tsv	31.41	5.13	19.23	2.56	39.1	2.56	2	53
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_70_lex_300_rex_300_site_peak_687_4_cobinding.tsv	36.84	3.51	8.77	10.52	36.84	3.51	2	70
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_47_lex_300_rex_300_site_peak_687_3_cobinding.tsv	60.32	3.17	4.76	6.35	22.22	3.17	2	47
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_41_lex_300_rex_300_site_peak_3575_4_cobinding.tsv	76.92	3.85	3.85	2.56	11.54	1.28	2	41
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_58_lex_300_rex_300_site_peak_3575_4_cobinding.tsv	75.68	4.05	8.11	1.35	9.46	1.35	2	58
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_120_lex_300_rex_300_site_peak_3770_1_cobinding.tsv	31.52	29.35	27.18	4.35	6.52	1.09	2	120
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_75_lex_300_rex_300_site_peak_3770_2_cobinding.tsv	34.51	31.86	10.62	7.96	13.27	1.77	2	75
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_135_lex_300_rex_300_site_peak_75_5_cobinding.tsv	17.81	12.33	34.25	15.07	16.44	4.11	2	135
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_2402_7_cobinding.tsv	62.5	5.21	5.21	1.04	23.95	2.08	2	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_103_lex_300_rex_300_site_peak_2759_1_cobinding.tsv	76.06	1.41	8.45	1.41	11.27	1.41	2	103
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_77_lex_300_rex_300_site_peak_2759_2_cobinding.tsv	30.93	1.03	7.22	3.09	54.64	3.09	2	77
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_55_lex_300_rex_300_site_peak_1032_1_cobinding.tsv	71.93	0.0	1.75	0	22.81	3.51	2	55
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_47_lex_300_rex_300_site_peak_1032_3_cobinding.tsv	46.51	0.0	5.81	0	44.19	3.49	2	47
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_79_lex_300_rex_300_site_peak_1820_3_cobinding.tsv	6.48	50.0	20.37	12.04	9.26	1.85	2	79
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_99_lex_300_rex_300_site_peak_3570_3_cobinding.tsv	30.38	3.8	17.72	5.07	40.5	2.53	2	99
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_30_lex_300_rex_300_site_peak_911_6_cobinding.tsv	51.46	7.77	5.82	2.91	27.19	4.85	2	30
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_52_lex_300_rex_300_site_peak_243_2_cobinding.tsv	28.04	26.17	20.56	7.48	15.88	1.87	2	52
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_103_lex_300_rex_300_site_peak_1335_4_cobinding.tsv	15.22	17.39	21.74	15.22	25	5.43	2	103
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_38_lex_300_rex_300_site_peak_912_4_cobinding.tsv	72.22	9.52	10.32	0.79	6.34	0.79	2	38
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_62_lex_300_rex_300_site_peak_912_4_cobinding.tsv	56.88	11.01	13.76	0.92	15.59	1.83	2	62
